"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total"
"25 de fev. de 2026 08:53:59 GMT-8","25804998831","Serviços de Envio","702-3438277-1009014","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"25 de fev. de 2026 08:53:59 GMT-8","25804998831","Serviços de Envio","702-3438277-1009014","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"25 de fev. de 2026 08:54:03 GMT-8","25804998831","Serviços de Envio","702-1593627-3652261","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,50","0","-6,50"
"25 de fev. de 2026 08:54:03 GMT-8","25804998831","Serviços de Envio","702-1593627-3652261","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"25 de fev. de 2026 08:54:09 GMT-8","25804998831","Serviços de Envio","702-5517160-3328213","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"25 de fev. de 2026 08:54:09 GMT-8","25804998831","Serviços de Envio","702-5517160-3328213","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"25 de fev. de 2026 23:17:10 GMT-8","25804998831","Pedido","702-8303440-6481006","YL-NANJ-F7TC","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Mamede","PB","58625","68,90","8,90","0","-8,90","0","-8,27","-5,00","0","0","55,63"
"26 de fev. de 2026 00:53:26 GMT-8","25804998831","Pedido","702-5616182-9848247","4G-7YLB-CHKW","Planejamento Financeiro Pessoal - Planner Financeiro - Controle Financeiro (Preto 1)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Belém","PA","66610","52,90","0","0","0","0","-6,88","-5,00","0","0","41,02"
"26 de fev. de 2026 04:24:41 GMT-8","25805549661","Pedido","701-0004593-5566622","6O-N0LL-EHW0","Meu Planner Permanente Elegante - Organizador Planner Mensal Wire-O","1","amazon.com.br","Boleto","Amazon","Americana","SP","13478","49,90","0","0","0","0","-6,49","-5,00","0","0","38,41"
"26 de fev. de 2026 04:40:03 GMT-8","25804560851","Pedido","701-7584555-7851400","9K-T6NV-LA8R","Diário Sagrado: Divina Lectio e Vida de Oração (Fervor Celestial)","1","amazon.com.br","Visa Crédito","Vendedor","Araguari","MG","38447","65,90","0","0","0","0","-8,57","0","0","0","57,33"
"26 de fev. de 2026 05:34:12 GMT-8","25804998831","Pedido","702-3080253-2087414","0Q-EK6Z-SV84","Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","São Paulo","SP","08295","59,90","0","0","0","0","-7,79","0","0","0","52,11"
"26 de fev. de 2026 05:54:30 GMT-8","25805549661","Pedido","702-3428618-3297817","OR-QD8C-Y86U","Planner Financeiro Mensal Datado 2026, Roda Da Vida A5 -Planejamento anual, Organização pessoal Metas e objetivos, Gestão financeira Monitoramento","1","amazon.com.br","Boleto","Vendedor","Itapema","SC","88220","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"26 de fev. de 2026 06:54:32 GMT-8","25804560851","Pedido","701-2023572-8591417","RA-KICF-0Q47","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Visa Crédito","Vendedor","Várzea Paulista","SP","13220","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"26 de fev. de 2026 07:28:50 GMT-8","25805549661","Pedido","702-7855954-3815438","4S-C6M7-1NCT","Planner 2026 Amarelo - Life Capa Dura com Controle Financeiro e Roda da Vida","1","amazon.com.br","Boleto","Vendedor","Saquarema","RJ","28990","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"26 de fev. de 2026 07:33:18 GMT-8","25804998831","Pedido","701-6931540-9364213","V7-N8TP-MCL5","Album fotografico scrapbook - Coleção Corações (Vermelho)","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","São Bernardo do Campo","SP","09629","59,90","0","0","0","0","-7,79","0","0","0","52,11"
"26 de fev. de 2026 08:20:42 GMT-8","25804998831","Reembolsos","701-3892212-3709850","MQ-STXD-11EM","Reembolso para pacotes extraviados","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","68,90","68,90"
"26 de fev. de 2026 09:44:09 GMT-8","25804998831","Serviços de Envio","701-9183421-0413038","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"26 de fev. de 2026 09:44:09 GMT-8","25804998831","Serviços de Envio","701-9183421-0413038","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"26 de fev. de 2026 09:44:10 GMT-8","25804998831","Serviços de Envio","702-2325645-8305833","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"26 de fev. de 2026 09:44:10 GMT-8","25804998831","Serviços de Envio","702-2325645-8305833","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"26 de fev. de 2026 09:44:14 GMT-8","25804998831","Serviços de Envio","701-3121503-3927440","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"26 de fev. de 2026 09:44:14 GMT-8","25804998831","Serviços de Envio","701-3121503-3927440","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"26 de fev. de 2026 09:44:18 GMT-8","25804998831","Serviços de Envio","701-4848379-1117846","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"26 de fev. de 2026 09:44:18 GMT-8","25804998831","Serviços de Envio","701-4848379-1117846","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"26 de fev. de 2026 09:44:24 GMT-8","25804998831","Serviços de Envio","702-4254260-4247432","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-20,25","0","-20,25"
